t,n,mean,sd,se,ic,y_ave,.fitted,.resid,Genotype
0,,,,,,,,,Horizontal
5,,,,,,,,,Horizontal
10,,,,,,,,,Horizontal
15,,,,,,,,,Horizontal
20,,,,,,,,,Horizontal
25,,,,,,,,,Horizontal
35,,,,,,,,,Horizontal
45,,,,,,,,,Horizontal
55,,,,,,,,,Horizontal
65,,,,,,,,,Horizontal
75,,,,,,,,,Horizontal
85,,,,,,,,,Horizontal
95,,,,,,,,,Horizontal
105,,,,,,,,,Horizontal
115,,,,,,,,,Horizontal
125,,,,,,,,,Horizontal
140,,,,,,,,,Horizontal
155,,,,,,,,,Horizontal
170,,,,,,,,,Horizontal
185,,,,,,,,,Horizontal
200,,,,,,,,,Horizontal
215,,,,,,,,,Horizontal
230,,,,,,,,,Horizontal
245,,,,,,,,,Horizontal
260,,,,,,,,,Horizontal
275,,,,,,,,,Horizontal
305,,,,,,,,,Horizontal
335,,,,,,,,,Horizontal
365,,,,,,,,,Horizontal
395,,,,,,,,,Horizontal
425,,,,,,,,,Horizontal
455,,,,,,,,,Horizontal
485,,,,,,,,,Horizontal
0,,,,,,,,,Vertical
5,,,,,,,,,Vertical
10,,,,,,,,,Vertical
15,,,,,,,,,Vertical
20,,,,,,,,,Vertical
25,,,,,,,,,Vertical
35,,,,,,,,,Vertical
45,,,,,,,,,Vertical
55,,,,,,,,,Vertical
65,,,,,,,,,Vertical
75,,,,,,,,,Vertical
85,,,,,,,,,Vertical
95,,,,,,,,,Vertical
105,,,,,,,,,Vertical
115,,,,,,,,,Vertical
125,,,,,,,,,Vertical
140,,,,,,,,,Vertical
155,,,,,,,,,Vertical
170,,,,,,,,,Vertical
185,,,,,,,,,Vertical
200,,,,,,,,,Vertical
215,,,,,,,,,Vertical
230,,,,,,,,,Vertical
245,,,,,,,,,Vertical
260,,,,,,,,,Vertical
275,,,,,,,,,Vertical
305,,,,,,,,,Vertical
335,,,,,,,,,Vertical
365,,,,,,,,,Vertical
395,,,,,,,,,Vertical
425,,,,,,,,,Vertical
455,,,,,,,,,Vertical
485,,,,,,,,,Vertical
